subject	species	count
Biochemistry	Longtail stingrays	5.000000
Biochemistry	Corynebacterium glutamicum	5.000000
Biochemistry	Chlamydia pneumoniae	5.000000
Biochemistry	C. familiaris	5.000000
Biochemistry	welshmans	4.000000
Biochemistry	striper bass	4.000000
Biochemistry	starfishs	4.000000
Biochemistry	spiny puffers	4.000000
Biochemistry	lynx	4.000000
Biochemistry	golden orfes	4.000000
Biochemistry	fossas	4.000000
Biochemistry	citrus cankers	4.000000
Biochemistry	Vitis vinifera	4.000000
Biochemistry	Variable platyfishs	4.000000
Biochemistry	T. tridentatus	4.000000
Biochemistry	T. ni	4.000000
Biochemistry	T. guttata	4.000000
Biochemistry	T. aestivum	4.000000
Biochemistry	Streptococcus mutans	4.000000
Biochemistry	Spinacia oleracea	4.000000
Biochemistry	S. meliloti	4.000000
Biochemistry	S. epidermidis	4.000000
Biochemistry	Rhodobacter capsulatus	4.000000
Biochemistry	P. vulgaris	4.000000
Biochemistry	P. patens	4.000000
Biochemistry	P. alleni	4.000000
Biochemistry	P. aerophilum	4.000000
Biochemistry	Mottled sculpins	4.000000
Biochemistry	Marten	4.000000
Biochemistry	Magnaporthe grisea	4.000000
Biochemistry	M. amurensis	4.000000
Biochemistry	Llama	4.000000
Biochemistry	Lens culinaris	4.000000
Biochemistry	H. marismortui	4.000000
Biochemistry	H. capsulatum	4.000000
Biochemistry	Glycine max	4.000000
Biochemistry	Coccidioides immitis	4.000000
Biochemistry	Campylobacter jejuni	4.000000
Biochemistry	C. pipiens	4.000000
Biochemistry	C. merolae	4.000000
Biochemistry	C. burnetii	4.000000
Biochemistry	Boraras maculatus	4.000000
Biochemistry	Bacteroides thetaiotaomicron	4.000000
Biochemistry	Bacillus thuringiensis	4.000000
Biochemistry	Bacillus megaterium	4.000000
Biochemistry	Bacillus licheniformis	4.000000
Biochemistry	Bacillus amyloliquefaciens	4.000000
Biochemistry	Azotobacter vinelandii	4.000000
Biochemistry	Aspergillus oryzae	4.000000
Biochemistry	Aequorea victoria	4.000000
Biochemistry	A. californica	4.000000
Biochemistry	yellow mealworms	3.000000
Biochemistry	whitehead	3.000000
Biochemistry	old woman angelfishs	3.000000
Biochemistry	hawaiian bristletooth	3.000000
Biochemistry	dog cockles	3.000000
Biochemistry	Xanthomonas oryzae	3.000000
Biochemistry	Whitebait	3.000000
Biochemistry	W. somnifera	3.000000
Biochemistry	Vibrio harveyi	3.000000
Biochemistry	V. ammodytes ammodytes	3.000000
Biochemistry	Ustilago maydis	3.000000
Biochemistry	Tritirachium album	3.000000
Biochemistry	Teius A	3.000000
Biochemistry	T. tenax	3.000000
Biochemistry	T. pseudonana	3.000000
Biochemistry	T. aquaticus	3.000000
Biochemistry	Sulfolobus tokodaii	3.000000
Biochemistry	Streptococcus thermophilus	3.000000
Biochemistry	Ship Sturgeon	3.000000
Biochemistry	Seventyfour seabreams	3.000000
Biochemistry	S. typhi	3.000000
Biochemistry	S. suis	3.000000
Biochemistry	S. boydii	3.000000
Biochemistry	S. bayanus	3.000000
Biochemistry	Rhodopseudomonas palustris	3.000000
Biochemistry	Rhizobium etli	3.000000
Biochemistry	R. leguminosarum	3.000000
Biochemistry	Pretty tetra	3.000000
Biochemistry	Pneumocystis carinii	3.000000
Biochemistry	Photinus pyralis	3.000000
Biochemistry	Paracoccidioides brasiliensis	3.000000
Biochemistry	P. tricornutum	3.000000
Biochemistry	P. pygmaeus	3.000000
Biochemistry	P. denitrificans	3.000000
Biochemistry	P. chrysogenum	3.000000
Biochemistry	O. keta	3.000000
Biochemistry	Mycoplasma pneumoniae	3.000000
Biochemistry	Methanocaldococcus jannaschii	3.000000
Biochemistry	Mesorhizobium loti	3.000000
Biochemistry	Mesocricetus auratus	3.000000
Biochemistry	M. truncatula	3.000000
Biochemistry	M. catarrhalis	3.000000
Biochemistry	Lactobacillus casei	3.000000
Biochemistry	L. plantarum	3.000000
Biochemistry	Japanese medakas	3.000000
Biochemistry	Ixodes scapularis	3.000000
Biochemistry	H. volcanii	3.000000
Biochemistry	G. violaceus	3.000000
Biochemistry	G. stearothermophilus	3.000000
Biochemistry	Foureye butterflyfish	3.000000
Biochemistry	F. meningosepticum	3.000000
Biochemistry	Dermatophagoides pteronyssinus	3.000000
Biochemistry	D. pseudoobscura	3.000000
Biochemistry	D. farinae	3.000000
Biochemistry	Cryptosporidium parvum	3.000000
Biochemistry	Candida antarctica	3.000000
Biochemistry	C. porcellus	3.000000
Biochemistry	C. pasteurianum	3.000000
Biochemistry	C. freundii	3.000000
Biochemistry	C. difficile	3.000000
Biochemistry	Burkholderia mallei	3.000000
Biochemistry	Borrelia garinii	3.000000
Biochemistry	Body louses	3.000000
Biochemistry	B. abortus	3.000000
Biochemistry	Anabaena variabilis	3.000000
Biochemistry	Actinobacillus pleuropneumoniae	3.000000
Biochemistry	Acinetobacter baumannii	3.000000
Biochemistry	A. hydrophila	3.000000
Biochemistry	A. gossypii	3.000000
Biochemistry	spotted scat	2.000000
Biochemistry	ship cockroach	2.000000
Biochemistry	shepherd fish	2.000000
Biochemistry	northern hagfish	2.000000
Biochemistry	monks	2.000000
Biochemistry	mediterranean mussel	2.000000
Biochemistry	lamprey	2.000000
Biochemistry	jararacas	2.000000
Biochemistry	green anoles	2.000000
Biochemistry	green Puffer Fishs	2.000000
Biochemistry	giant leatherskins	2.000000
Biochemistry	german cockroach	2.000000
Biochemistry	domestic dogs	2.000000
Biochemistry	black unicornfishs	2.000000
Biochemistry	Y. lipolytica	2.000000
Biochemistry	Weka	2.000000
Biochemistry	W. floribunda	2.000000
Biochemistry	Vespula vulgaris	2.000000
Biochemistry	Varroa destructor	2.000000
Biochemistry	V. splendidus	2.000000
Biochemistry	V. parahaemolyticus	2.000000
Biochemistry	V. faba	2.000000
Biochemistry	Terciopelo	2.000000
Biochemistry	T. denitrificans	2.000000
Biochemistry	T. daniellii	2.000000
Biochemistry	T. adhaerens	2.000000
Biochemistry	Streptomyces plicatus	2.000000
Biochemistry	Streptococcus mitis	2.000000
Biochemistry	Spodoptera exigua	2.000000
Biochemistry	Spirulina platensis	2.000000
Biochemistry	Solanum lycopersicum	2.000000
Biochemistry	Signal crayfish	2.000000
Biochemistry	Serratia marcescens	2.000000
Biochemistry	Sambucus nigra	2.000000
Biochemistry	S. xylosus	2.000000
Biochemistry	S. saprophyticus	2.000000
Biochemistry	S. salivarius	2.000000
Biochemistry	S. rubiginosus	2.000000
Biochemistry	S. paradoxus	2.000000
Biochemistry	S. oralis	2.000000
Biochemistry	S. kowalevskii	2.000000
Biochemistry	S. fumaroxidans	2.000000
Biochemistry	S. aurantiaca	2.000000
Biochemistry	Rubrobacter xylanophilus	2.000000
Biochemistry	R. tarandus	2.000000
Biochemistry	R. solanacearum	2.000000
Biochemistry	R. rickettsii	2.000000
Biochemistry	R. denitrificans	2.000000
Biochemistry	Prochlorococcus marinus	2.000000
Biochemistry	Prevotella intermedia	2.000000
Biochemistry	Porcostoma dentata	2.000000
Biochemistry	Plutella xylostella	2.000000
Biochemistry	Pimephales promelas	2.000000
Biochemistry	Parabacteroides distasonis	2.000000
Biochemistry	Papaver somniferum	2.000000
Biochemistry	Pandion haliaetus	2.000000
Biochemistry	P. marneffei	2.000000
Biochemistry	P. luminescens	2.000000
Biochemistry	P. leo	2.000000
Biochemistry	P. jirovecii	2.000000
Biochemistry	P. chabaudi	2.000000
Biochemistry	P. anserina	2.000000
Biochemistry	P. acnes	2.000000
Biochemistry	Olea europaea	2.000000
Biochemistry	Ochrobactrum anthropi	2.000000
Biochemistry	Nodularia spumigena	2.000000
Biochemistry	N. vitripennis	2.000000
Biochemistry	N. pharaonis	2.000000
Biochemistry	N. fischeri	2.000000
Biochemistry	N. farcinica	2.000000
Biochemistry	N. clavipes	2.000000
Biochemistry	Myzus persicae	2.000000
Biochemistry	Mycoplasma genitalium	2.000000
Biochemistry	Microcystis aeruginosa	2.000000
Biochemistry	M. thermoacetica	2.000000
Biochemistry	M. thermautotrophicus	2.000000
Biochemistry	M. monax	2.000000
Biochemistry	M. kandleri	2.000000
Biochemistry	M. haemolytica	2.000000
Biochemistry	M. charantia	2.000000
Biochemistry	M. capsulatus	2.000000
Biochemistry	M. burtonii	2.000000
Biochemistry	M. abscessus	2.000000
Biochemistry	Lytechinus pictus	2.000000
Biochemistry	Lymantria dispar	2.000000
Biochemistry	Leuconostoc mesenteroides	2.000000
Biochemistry	Leptospira biflexa	2.000000
Biochemistry	Lama guanicoe	2.000000
Biochemistry	Lactobacillus rhamnosus	2.000000
Biochemistry	Lactobacillus johnsonii	2.000000
Biochemistry	Lactobacillus acidophilus	2.000000
Biochemistry	Kluyveromyces waltii	2.000000
Biochemistry	Klebsiella oxytoca	2.000000
Biochemistry	Hordeum vulgare	2.000000
Biochemistry	Hirudo medicinalis	2.000000
Biochemistry	Hammerheads	2.000000
Biochemistry	Halobacterium salinarum	2.000000
Biochemistry	H. zea	2.000000
