subject	species	count
Biochemistry	C. crescentus	6.500000
Biochemistry	soles	6.368421
Biochemistry	oriental-sole	6.368421
Biochemistry	longsnout flounders	6.368421
Biochemistry	flat fish	6.368421
Biochemistry	black soles	6.368421
Biochemistry	bass flounder	6.368421
Biochemistry	Zanzibar tonguesoles	6.368421
Biochemistry	Wedge soles	6.368421
Biochemistry	T. fonsecensis	6.368421
Biochemistry	Southern hogchokers	6.368421
Biochemistry	Soles	6.368421
Biochemistry	Portuguese soles	6.368421
Biochemistry	H. capensis	6.368421
Biochemistry	Bengal toungesoles	6.368421
Biochemistry	Austroglossus pectoralis	6.368421
Biochemistry	A. capensis	6.368421
Biochemistry	Archaeoglobus fulgidus	6.250000
Biochemistry	Fry-drys	6.092632
Biochemistry	C. glabrata	6.025641
Biochemistry	Zigzag rainbow-fish	6.000000
Biochemistry	Synechococcus elongatus	6.000000
Biochemistry	Streptococcus agalactiae	6.000000
Biochemistry	Ricinus communis	6.000000
Biochemistry	Pomatomus saltatrix	6.000000
Biochemistry	Nostoc punctiforme	6.000000
Biochemistry	Nicotiana tabacum	6.000000
Biochemistry	M. sexta	6.000000
Biochemistry	Korua grenadier anchovys	6.000000
Biochemistry	Francisella tularensis	6.000000
Biochemistry	Centriscus scutatus	6.000000
Biochemistry	Branchiostoma floridae	6.000000
Biochemistry	Blue panchax	6.000000
Biochemistry	Barramundi perch	6.000000
Biochemistry	B. stearothermophilus	6.000000
Biochemistry	Ass	6.000000
Biochemistry	A. pernix	6.000000
Biochemistry	scarlet characins	5.500000
Biochemistry	Pyrococcus furiosus	5.500000
Biochemistry	Green tetra	5.500000
Biochemistry	Schistosoma mansoni	5.333333
Biochemistry	redmouth grunts	5.000000
Biochemistry	Xanthomonas campestris	5.000000
Biochemistry	Thermoplasma acidophilum	5.000000
Biochemistry	Sulfolobus acidocaldarius	5.000000
Biochemistry	Streptomyces coelicolor	5.000000
Biochemistry	Streptococcus gordonii	5.000000
Biochemistry	S. dysenteriae	5.000000
Biochemistry	Red flour beetle	5.000000
Biochemistry	P. gingivalis	5.000000
Biochemistry	Myxococcus xanthus	5.000000
Biochemistry	M. luteus	5.000000
Biochemistry	M. avium	5.000000
Biochemistry	Longtail stingrays	5.000000
Biochemistry	Fishers	5.000000
Biochemistry	Enterococcus faecium	5.000000
Biochemistry	Corynebacterium glutamicum	5.000000
Biochemistry	C. familiaris	5.000000
Biochemistry	Streptococcus mutans	4.500000
Biochemistry	C. lupus	4.500000
Biochemistry	Aspergillus oryzae	4.181818
Biochemistry	Magnaporthe grisea	4.018868
Biochemistry	striper bass	4.013514
Biochemistry	welshmans	4.000000
Biochemistry	starfishs	4.000000
Biochemistry	spiny puffers	4.000000
Biochemistry	reedfishs	4.000000
Biochemistry	peppermint cod	4.000000
Biochemistry	golden orfes	4.000000
Biochemistry	fossas	4.000000
Biochemistry	citrus cankers	4.000000
Biochemistry	Vitis vinifera	4.000000
Biochemistry	Variable platyfishs	4.000000
Biochemistry	Tabanus brucei	4.000000
Biochemistry	T. tridentatus	4.000000
Biochemistry	T. ni	4.000000
Biochemistry	T. guttata	4.000000
Biochemistry	T. brucei	4.000000
Biochemistry	T. aestivum	4.000000
Biochemistry	Spinacia oleracea	4.000000
Biochemistry	S. meliloti	4.000000
Biochemistry	Rhodobacter capsulatus	4.000000
Biochemistry	Puma	4.000000
Biochemistry	P. vulgaris	4.000000
Biochemistry	P. patens	4.000000
Biochemistry	P. concolor	4.000000
Biochemistry	P. alleni	4.000000
Biochemistry	P. aerophilum	4.000000
Biochemistry	Mottled sculpins	4.000000
Biochemistry	Marten	4.000000
Biochemistry	M. amurensis	4.000000
Biochemistry	Llama	4.000000
Biochemistry	Lens culinaris	4.000000
Biochemistry	H. marismortui	4.000000
Biochemistry	H. capsulatum	4.000000
Biochemistry	Glycine max	4.000000
Biochemistry	E. aerogenes	4.000000
Biochemistry	Coccidioides immitis	4.000000
Biochemistry	Canadian Lynxs	4.000000
Biochemistry	Campylobacter jejuni	4.000000
Biochemistry	Callorhinchus capensis	4.000000
Biochemistry	C. pipiens	4.000000
Biochemistry	C. merolae	4.000000
Biochemistry	C. burnetii	4.000000
Biochemistry	Boraras maculatus	4.000000
Biochemistry	Bacteroides thetaiotaomicron	4.000000
Biochemistry	Bacillus thuringiensis	4.000000
Biochemistry	Bacillus megaterium	4.000000
Biochemistry	Bacillus licheniformis	4.000000
Biochemistry	Bacillus amyloliquefaciens	4.000000
Biochemistry	Azotobacter vinelandii	4.000000
Biochemistry	Aequorea victoria	4.000000
Biochemistry	O. keta	3.603774
Biochemistry	zebras	3.500000
Biochemistry	Burkholderia mallei	3.333333
Biochemistry	Vibrio harveyi	3.333333
Biochemistry	Streptococcus thermophilus	3.142857
Biochemistry	Asian carps	3.111111
Biochemistry	Cryptosporidium parvum	3.090909
Biochemistry	Paracoccidioides brasiliensis	3.006250
Biochemistry	Arabis thaliana	3.000000
Biochemistry	A. thaliana	3.000000
Biochemistry	yellow mealworms	3.000000
Biochemistry	whitehead	3.000000
Biochemistry	white pikes	3.000000
Biochemistry	old woman angelfishs	3.000000
Biochemistry	northern hagfish	3.000000
Biochemistry	hawaiian bristletooth	3.000000
Biochemistry	grainings	3.000000
Biochemistry	domestic dogs	3.000000
Biochemistry	dog cockles	3.000000
Biochemistry	branchys	3.000000
Biochemistry	Xanthomonas oryzae	3.000000
Biochemistry	Whitebait	3.000000
Biochemistry	W. somnifera	3.000000
Biochemistry	V. ammodytes ammodytes	3.000000
Biochemistry	Ustilago maydis	3.000000
Biochemistry	Tritirachium album	3.000000
Biochemistry	Tiger	3.000000
Biochemistry	Teius A	3.000000
Biochemistry	T. tenax	3.000000
Biochemistry	T. pseudonana	3.000000
Biochemistry	T. aquaticus	3.000000
Biochemistry	Sulfolobus tokodaii	3.000000
Biochemistry	Southern lanternshark	3.000000
Biochemistry	Ship Sturgeon	3.000000
Biochemistry	Seventyfour seabreams	3.000000
Biochemistry	S. typhi	3.000000
Biochemistry	S. suis	3.000000
Biochemistry	S. boydii	3.000000
Biochemistry	S. bayanus	3.000000
Biochemistry	Rhodopseudomonas palustris	3.000000
Biochemistry	Rhizobium etli	3.000000
Biochemistry	R. leguminosarum	3.000000
Biochemistry	Pretty tetra	3.000000
Biochemistry	Pneumocystis carinii	3.000000
Biochemistry	Photinus pyralis	3.000000
Biochemistry	P. tricornutum	3.000000
Biochemistry	P. pygmaeus	3.000000
Biochemistry	P. denitrificans	3.000000
Biochemistry	P. chrysogenum	3.000000
Biochemistry	Mycoplasma pneumoniae	3.000000
Biochemistry	Methanocaldococcus jannaschii	3.000000
Biochemistry	Mesorhizobium loti	3.000000
Biochemistry	Mesocricetus auratus	3.000000
Biochemistry	M. truncatula	3.000000
Biochemistry	M. catarrhalis	3.000000
Biochemistry	Leuciscus leuciscus	3.000000
Biochemistry	Lactobacillus casei	3.000000
Biochemistry	L. plantarum	3.000000
Biochemistry	Japanese medakas	3.000000
Biochemistry	Ixodes scapularis	3.000000
Biochemistry	H. volcanii	3.000000
Biochemistry	G. violaceus	3.000000
Biochemistry	G. stearothermophilus	3.000000
Biochemistry	Foureye butterflyfish	3.000000
Biochemistry	F. meningosepticum	3.000000
Biochemistry	Ewes	3.000000
Biochemistry	Dermatophagoides pteronyssinus	3.000000
Biochemistry	D. pseudoobscura	3.000000
Biochemistry	D. farinae	3.000000
Biochemistry	Candida antarctica	3.000000
Biochemistry	C. porcellus	3.000000
Biochemistry	C. pasteurianum	3.000000
Biochemistry	C. freundii	3.000000
Biochemistry	Borrelia garinii	3.000000
Biochemistry	Body louses	3.000000
Biochemistry	B. abortus	3.000000
Biochemistry	Anabaena variabilis	3.000000
Biochemistry	Actinobacillus pleuropneumoniae	3.000000
Biochemistry	Acinetobacter baumannii	3.000000
Biochemistry	A. hydrophila	3.000000
Biochemistry	A. californica	3.000000
Biochemistry	Freshwater eels	2.833333
Biochemistry	Disophrys melanogaster	2.800000
Biochemistry	Dipoena melanogaster	2.800000
Biochemistry	Dasypogon melanogaster	2.800000
Biochemistry	white scales	2.500000
Biochemistry	southern sand flatheads	2.500000
Biochemistry	Halobacterium salinarum	2.500000
Biochemistry	Giant sandsharks	2.500000
Biochemistry	Aspergillus terreus	2.250000
Biochemistry	Debaryomyces hansenii	2.142857
Biochemistry	Streptomyces plicatus	2.125000
Biochemistry	Streptococcus mitis	2.111111
Biochemistry	Banded Krait	2.076923
Biochemistry	Prochlorococcus marinus	2.071429
Biochemistry	Black kings	2.030303
Biochemistry	Citrus sinensis	2.017699
Biochemistry	Grey mannocks	2.013514
Biochemistry	spotted scat	2.000000
Biochemistry	ship cockroach	2.000000
Biochemistry	shepherd fish	2.000000
Biochemistry	pacific torpedo	2.000000
Biochemistry	olive grunt	2.000000
Biochemistry	monks	2.000000
Biochemistry	mediterranean mussel	2.000000
Biochemistry	jararacas	2.000000
Biochemistry	green anoles	2.000000
Biochemistry	green Puffer Fishs	2.000000
Biochemistry	giant leatherskins	2.000000
Biochemistry	german cockroach	2.000000
Biochemistry	black unicornfishs	2.000000
Biochemistry	Y. lipolytica	2.000000
Biochemistry	Weka	2.000000
Biochemistry	W. floribunda	2.000000
Biochemistry	Vespula vulgaris	2.000000
Biochemistry	Varroa destructor	2.000000
Biochemistry	V. splendidus	2.000000
Biochemistry	V. parahaemolyticus	2.000000
Biochemistry	V. faba	2.000000
Biochemistry	Terciopelo	2.000000
Biochemistry	T. denitrificans	2.000000
Biochemistry	T. daniellii	2.000000
Biochemistry	T. adhaerens	2.000000
Biochemistry	Spodoptera exigua	2.000000
Biochemistry	Spirulina platensis	2.000000
Biochemistry	Solanum lycopersicum	2.000000
Biochemistry	Signal crayfish	2.000000
Biochemistry	Shark Bay eel-blennys	2.000000
Biochemistry	Serratia marcescens	2.000000
Biochemistry	Sambucus nigra	2.000000
Biochemistry	S. xylosus	2.000000
Biochemistry	S. saprophyticus	2.000000
Biochemistry	S. salivarius	2.000000
Biochemistry	S. rubiginosus	2.000000
Biochemistry	S. paradoxus	2.000000
Biochemistry	S. oralis	2.000000
Biochemistry	S. kowalevskii	2.000000
Biochemistry	S. fumaroxidans	2.000000
Biochemistry	S. aurantiaca	2.000000
Biochemistry	Rubrobacter xylanophilus	2.000000
Biochemistry	R. tarandus	2.000000
Biochemistry	R. solanacearum	2.000000
Biochemistry	R. rickettsii	2.000000
Biochemistry	R. denitrificans	2.000000
Biochemistry	Prevotella intermedia	2.000000
Biochemistry	Porcostoma dentata	2.000000
Biochemistry	Polysphondylium pallidum	2.000000
Biochemistry	Plutella xylostella	2.000000
Biochemistry	Pimephales promelas	2.000000
