subject	article	doi	interaction:001:predatorprey	interaction:002:symbiosis	interaction:003:mutualism	interaction:004:commensalism	interaction:005:parasitism	interaction:006:affecting	interaction:007:competition	interaction:008:amensalism	interaction:009:antagonism	interaction:010:facilitation	interaction:011:exclusion	interaction:012:invasion	interaction:013:pollination	interaction:014:eating	interaction:015:interaction	interaction:016:herbivory	interaction:017:detritivory	interaction:018:scavenging	interaction:019:poisoning	interaction:020:limiting	interaction:021:mating	interaction:022:hybridising	interaction:023:host	interaction:024:relationship	interaction:025:killing	interaction:026:attacking	interaction:027:impairing
Biochemistry	PLoS_ONE_2009_Feb_27_4(2)_e4656	10.1371/journal.pone.0004656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Apr_28_6(4)_e19023	10.1371/journal.pone.0019023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Feb_24_6(2)_e17247	10.1371/journal.pone.0017247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One-5-6-2887398	10.1371/journal.pone.0011182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_May_25_6(5)_e19961	10.1371/journal.pone.0019961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE_2009_May_19_4(5)_e5618	10.1371/journal.pone.0005618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE_2009_Feb_5_4(2)_e4382	10.1371/journal.pone.0004382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One-5-8-2921342	10.1371/journal.pone.0012152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Jun_23_6(6)_e21204	10.1371/journal.pone.0021204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Jun_23_6(6)_e21412	10.1371/journal.pone.0021412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Jan_28_6(1)_e15827	10.1371/journal.pone.0015827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One-4-10-2741203	10.1371/journal.pone.0007113	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
